	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
81	0		Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
312	1	 (Recalled) Leslie G.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
161	2	 (part-time) Anthony R.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
93	3	 (part-time) Gerard M.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
289	4	 (part-time) Martin R.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
18	5	 (part-time) Mary Kay	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
187	6	 (part-time) Robert Ww	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
351	7	 (part-time} Alice R.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
188	8	 (part-time} Kea Rigg	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
300	9	 (recalled) Burton R.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
189	10	 (recalled) Don J. Svet	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
98	11	 (recalled) John L.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
94	12	 (recalled) Richard W.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
95	13	 (recalled) Robert M.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
301	14	 (recatled} Burton R. Lifland contin, of Chief 	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
220	15	 A. Kathleen Tomlinson	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
193	16	 Ailyne R. Ross	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
180	17	 Alan C. Torgerson	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
225	18	 Alan S. Trust	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
277	19	 Alvin K. Hellerstein	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
239	20	 Andrew Baxter	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
279	21	 Andrew J. Peck	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
221	22	 Andrew L. Carter Jr.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
151	23	 Ann Marie Donio	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
82	24	 Arthur	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
290	25	 Arthur J.	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
11	26	 Arthur J. Boylan	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
291	27	 Arthur J. Gonzalez Contingy	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
54	28	 Audrey Goldstein Fleissig	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
249	29	 Barbara S. Jones	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
66	30	 Barry	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
65	31	 Barry §	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
361	32	 Benita Y. Pearson	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
200	33	 Brian M. Cogan .	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
122	34	 Bruce A. Markell	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
170	35	 Bruce D. Black	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
177	36	 C. LeRoy Hansen	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
313	37	 Carl L. Bucki	Began Service: October 5, 2007	N / A	N / A	N / A	N / A	N / A	N / A
