	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
308	0	 (part-time) Alice R.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
91	1	 (part-time) Anthony R.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
90	2	 (part-time) Edward R.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
120	3	 (part-time) Kea Riggs -	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
184	4	 (part-time) Larry A.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
119	5	 (part-time) Robert W.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
395	6	 (part-time) Shon T	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
24	7	 (recall) John L.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
162	8	 (recalled)	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
52	9	 (recalled) Bert M.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
163	10	 (recalled) Conrad 8. Duberstein	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
330	11	 (recalled) David 5.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
366	12	 (recalled) Donald E.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
169	13	 (recalled) Dorothy	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
292	14	 (recalled) James B.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
121	15	 (recalled) Joe H.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
301	16	 (recalled) Marvin R.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
396	17	 (recalled) Ronald L.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
365	18	 (recalled) William A.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
124	19	 (recalled) William W. Deaton, Jr.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
122	20	 (recalled) Willlam Ww.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
280	21	 A. Thomas Small ©	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
248	22	 Adlai S. Hardin, Jr.	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
114	23	 Alan C. Torgerson	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
343	24	 Algenon L. Marbley	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
252	25	 Allan L. Gropper	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
133	26	 Allyne R. Ross .	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
400	27	 Ancer Lee	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
231	28	 Andrew J. Peck	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
321	29	 Ann Aldrich	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
402	30	 Ann L. Aiken	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
87	31	 Ann Marie Donio	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
404	32	 Anna J. Brown	Began Service: August 1995	Appointed By: President William I. Clinton	N / A	N / A	N / A	Legal Practice: Partner, Ewing, Smith, & Hoberock {1971-1995}	N / A
