	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
41	0		Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
23	1	 (Recalled) Larry M.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
28	2	 (Recalled) Mikel H.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
141	3	 (part-time) Michael G.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
291	4	 (part-time) Victor H.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
131	5	 (recall) Kent Lindquist	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
299	6	 (recalled) E. Stephen	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
206	7	 (recalled) Joe Lee	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
99	8	 (recalled) John D.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
19	9	 (recalled) Lloyd King	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
361	10	 (recalled) Walter	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
43	11	 (recalled) William V.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
140	12	 (recalled} Kennard P.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
110	13	 (visiting) Gerald D.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
112	14	 (visiting) James K.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
114	15	 (visiting) Pamela	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
100	16	 (visiting) William V.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
181	17	 . Gary Sebelius	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
194	18	 8. Arthur Spiegel,	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
97	19	 A. Benjamin Goldga; .	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
230	20	 A. J. McNamara	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
14	21	 Alan C. Kay	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
273	22	 Alexander Williams, Jr.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
231	23	 Alma L. Chasez	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
193	24	 Amul &. Thapar	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
60	25	 Amy J. St. Eve	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
275	26	 Andre M. Davis .	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
124	27	 Andrew P. Rodovich	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
378	28	 Ann D. Montgomery	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
341	29	 Anna Diggs Taylor	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
2	30	 Anthony A. Alaimo	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
145	31	 Anthony. J. Metz Ill	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
81	32	 Arlander Keys	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
387	33	 Arthur J. Boylan	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
332	34	 Arthur J. Tarnow	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
