	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
346	35	 Avern L, Cohn	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
1	36	 B. Avant Edenfield	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
20	37	 B. Lynn Winmill	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
15	38	 Barry M. Kurren	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
143	39	 Basil H. Lorch El	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
342	40	 Bernard. A. Friedman	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
288	41	 Beth P Gesner	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
51	42	 Blanche M. Manning. _	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
95	43	 Bruce W. Black	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
37	44	 Byron G. Cudmore	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
257	45	 C. Michael Hill	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
21	46	 Candy Wagahoff	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
224	47	 Carl J. Barbier	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
169	48	 Carlos Murguia	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
89	49	 Carol A. Doyle |	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
274	50	 Catherine C. Blake	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
163	51	 Celeste F Bremer	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
286	52	 Charles B. Day	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
348	53	 Charles E. Binder	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
35	54	 Charles H. Evans	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
76	55	 Charles P Kocoras	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
159	56	 Charles R. Wolle	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
46	57	 Charles Ronald Norgle,	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
209	58	 Charlies R. Simpson lll	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
244	59	 Christine A. Noland	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
126	60	 Christopher A.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
107	61	 Clifford J. Proud	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
266	62	 D. Brock Hornby	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
185	63	 Dale L. Somers	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
236	64	 Daniel E. Knowles Il	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
360	65	 Daniel S. Opperman	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
190	66	 Danny C. Reeves	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
214	67	 Dave Whalin	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
384	68	 David 5. Doty	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
401	69	 David A. Sanders	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
10	70	 David Alan Ezra	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
132	71	 David F Hamilton	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
36	72	 David G. Bernthal	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
66	73	 David H. Coar	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
179	74	 David J. Waxse	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
191	75	 David L. Bunning	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
335	76	 David M. Lawson	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
101	77	 David R. Herndon	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
216	78	 David T. Stosberg	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
402	79	 David Winston	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
272	80	 Deborah K. Chasanow	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
249	81	 Dee D. Drell	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
327	82	 Denise Page Hood	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
395	83	 Dennis D. O’Brien	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
245	84	 Docia L. Dalby	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
351	85	 Donald A. Scheer	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
382	86	 Donald D. Alsop	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
150	87	 Donald E. O’Brien	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
252	88	 Donald E. Walter	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
108	89	 Donald G. Wilkerson	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
177	90	 Donald W. Bostwick	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
379	91	 Donovan W. Frank	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
304	92	 Douglas P. Woodlocic	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
0	93	 Dudley H. Bowen, Jr.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
292	94	 Duncan W. Keir	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
213	95	 E. Robert Goebel	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
204	96	 Edward B. Atkins.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
312	97	 Edward F Harrington	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
210	98	 Edward H., Johnstone	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
24	99	 Edward J. Lodge Magistrate 	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
149	100	 Edward J. McManus	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
52	101	 Elaine E. Bucklo	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
222	102	 Eldon E. Fallon	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
238	103	 Elizabeth W. Magner	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
371	104	 Ellen $. Carmody	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
171	105	 Eric F Melgren	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
90	106	 Eugene R. Wedoff	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
311	107	 F Dennis Saylor IV	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
144	108	 Frank J. Otte	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
242	109	 Frank J. Polozola	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
386	110	 Franklin L. Noel	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
63	111	 Frederick J. Kapala	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
103	112	 G. Patrick Murphy	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
4	113	 G. R. Smith	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
221	114	 G. Thomas Porteous, Jr,	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
197	115	 G. Wix Unthank	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
310	116	 George A. O'Toole, Jr.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
331	117	 George Caram Steeh	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
73	118	 George M. Marovich	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
74	119	 George W. Lindberg	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
265	120	 George Z. Singal	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
111	121	 Gerald D.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
40	122	 Gerald D. Fines	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
326	123	 Gerald E. Rosen	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
178	124	 Gerald L. Rushfelt	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
84	125	 Geraldine Soat Brown	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
398	126	 Glen H. Davidson	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
364	127	 Gordon J. Quist	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
392	128	 Gregory F Kishel |	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
393	129	 Gregory F. Kishel, United	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
192	130	 Gregory Van Tatenhove	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
33	131	 Harold Albert Baker	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
158	132	 Harold D. Vietor	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
128	133	 Harry C. Dees,	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
72	134	 Harry D. Leinenweber	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
218	135	 Helen G. Berrigan	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
12	136	 Helen Gillmor	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
262	137	 Henley A. Hunter	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
320	138	 Henry Jack	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
198	139	 Henry Rupert Wilhoit, Jr.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
368	140	 Hugh W. Brenneman,	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
270	141	 J. Frederick Motz	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
271	142	 J. Frederick Motz, Judicial Panel	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
201	143	 J. Gregory Wehrman	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
11	144	 J. Michael Seabright	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
102	145	 J. Phil Gilbert	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
130	146	 J. Philip Klingeberger	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
168	147	 J. Thomas Marten	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
91	148	 Jack B. Schmetterer	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
98	149	 Jacqueline P Cox	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
202	150	 James B. Todd	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
47	151	 James B. Zagel	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
372	152	 James D. Gregg	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
256	153	 James D. Kirk	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
212	154	 James D. Moyer	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
5	155	 James E. Graham	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
156	156	 James E. Gritzner	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
293	157	 James F Schneider /	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
45	158	 James FE Holderman	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
240	159	 James J. Brady	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
113	160	 James K.	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
287	161	 James K. Bredar	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
146	162	 James K. Coachys	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
376	163	 James M. Rosenbaum	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
180	164	 James P. O'Hara	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
122	165	 James T. Moody	Began Service: December 5, 1979	Appointed By: President Jimmy Carter .	N / A	N / A	N / A	N / A	Current Memberships: American Bar Association; Augusta Bar
